id,y
9.000000000000000000e+02,2.223497142978397179e+00
9.010000000000000000e+02,-5.692187333063261079e-01
9.020000000000000000e+02,-4.224987666384802765e+01
9.030000000000000000e+02,4.852712589431904533e+00
9.040000000000000000e+02,-1.440303045592701281e-01
9.050000000000000000e+02,-2.547036487575073060e+00
9.060000000000000000e+02,7.489669551494415600e+00
9.070000000000000000e+02,7.362599632423320273e+00
9.080000000000000000e+02,6.613348449414679919e-01
9.090000000000000000e+02,1.915742884627766784e+01
9.100000000000000000e+02,1.138114229105155584e+00
9.110000000000000000e+02,-2.044203993036501465e+00
9.120000000000000000e+02,1.288874995928612499e+01
9.130000000000000000e+02,4.730856197669243146e-01
9.140000000000000000e+02,6.203906869813109459e+00
9.150000000000000000e+02,5.183550969937420660e+01
9.160000000000000000e+02,-3.879745145812399709e+00
9.170000000000000000e+02,1.583544462544335119e-01
9.180000000000000000e+02,-1.238400112667431330e+00
9.190000000000000000e+02,-1.180014186896878314e+01
9.200000000000000000e+02,5.418387514541278982e+00
9.210000000000000000e+02,2.797901262561917690e+01
9.220000000000000000e+02,-1.134184139355312482e+00
9.230000000000000000e+02,3.359683433957725285e-01
9.240000000000000000e+02,1.310412054013345085e+01
9.250000000000000000e+02,2.076600172532824473e+01
9.260000000000000000e+02,5.046977692958248163e+00
9.270000000000000000e+02,-1.020724624220275523e+01
9.280000000000000000e+02,-8.372375802295929148e+00
9.290000000000000000e+02,1.142526142434919123e+00
9.300000000000000000e+02,-1.211525868736832301e+01
9.310000000000000000e+02,1.656379140630670932e+00
9.320000000000000000e+02,3.985228961616037680e+00
9.330000000000000000e+02,3.010193149503710419e+00
9.340000000000000000e+02,3.779240655557873918e+00
9.350000000000000000e+02,2.830890984934191223e+01
9.360000000000000000e+02,1.339371988770863275e+00
9.370000000000000000e+02,2.135268528866074877e+00
9.380000000000000000e+02,-6.755658436000069322e-01
9.390000000000000000e+02,-3.775677172001251414e+00
9.400000000000000000e+02,7.549648242357993588e-01
9.410000000000000000e+02,-4.142052870768594630e+00
9.420000000000000000e+02,-9.477268207390703303e-01
9.430000000000000000e+02,-6.909775704057910417e+00
9.440000000000000000e+02,-4.342243994934948503e+00
9.450000000000000000e+02,1.300603312894084596e+00
9.460000000000000000e+02,1.658124680587093280e+01
9.470000000000000000e+02,5.082554360258926707e+00
9.480000000000000000e+02,-3.474349276804882436e+01
9.490000000000000000e+02,1.904006419004213857e+00
9.500000000000000000e+02,-1.545233087190021060e+01
9.510000000000000000e+02,4.423062875133568994e+00
9.520000000000000000e+02,4.776357945574959984e+01
9.530000000000000000e+02,-2.638929386999256721e+00
9.540000000000000000e+02,3.042385204213011818e+01
9.550000000000000000e+02,-1.694395270536845999e+01
9.560000000000000000e+02,-3.913828090206063481e-01
9.570000000000000000e+02,-9.440324754130749341e+00
9.580000000000000000e+02,2.012144944610770736e+01
